factor_a,factor_b,factor_c,factor_d,costo
1,1,1,0,0.036074
1,1,1,0,0.0360985
1,1,1,0,0.0361683
1,1,1,1,0.0365876
1,1,1,1,0.0381515
1,1,1,1,0.0371135
1,1,1,1,0.0376477
1,1,1,1,0.0372697
1,1,1,1,0.0388272
1,1,1,1,0.0376347
1,1,1,1,0.0390302
1,1,1,1,0.0378285
1,1,1,1,0.0377647
1,1,1,1,0.0379028
1,1,1,1,0.0377445
1,1,1,1,0.0382416
1,1,1,1,0.0372338
1,1,1,1,0.0374899
1,1,1,1,0.0375352
1,1,1,1,0.0389867
1,1,1,1,0.038486
1,1,1,1,0.03732
1,1,1,1,0.0379827
1,1,1,1,0.0372593
1,1,1,1,0.0385117
1,1,1,1,0.0383599
1,1,1,1,0.0371187
1,1,1,1,0.0392365
1,1,1,1,0.0373378
1,1,1,1,0.0381292
1,1,1,1,0.0377577
1,1,1,1,0.0380494
1,1,1,1,0.0384039
